手続名称,書類正式名称,担当課,担当係,場所,用途,留意事項,電話番号,URL,電子申請
子どもの医療費助成のための医療証の消滅届,子ども医療費助成制度申請事項変更・消滅届,子育て支援課,児童手当係,本庁舎10階,子ども医療証の消滅手続,マル乳・マル子医療証,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,
児童育成手当の減額改定,児童育成手当額改定請求書・届,子育て支援課,児童手当係,本庁舎10階,施設入所等により手当の支給対象児童が減った場合の手続き,施設入所した日がわかる措置決定通知書等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/ikuseiteate.html,
児童育成手当の増額改定,児童育成手当額改定請求書・届,子育て支援課,児童手当係,本庁舎10階,児童育成手当の増額申請手続き,戸籍謄本等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/ikuseiteate.html,
児童育成手当の現況届,児童育成手当現況届,子育て支援課,児童手当係,本庁舎10階,児童育成手当を継続して受給するための手続き,各種申立書等（住所要件、養育事実の申立書等）,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/oshirase/gennkyoutodoke.html,
児童育成手当の受給資格の認定,児童育成手当認定請求書,子育て支援課,児童手当係,本庁舎10階,児童育成手当の申請手続き,戸籍謄本等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/oshirase/gennkyoutodoke.html,
児童手当の減額改定,児童手当　額改定　認定請求書・額改定届,子育て支援課,児童手当係,本庁舎10階,施設入所等により手当の支給対象児童が減った場合の手続き,施設入所した日がわかる措置決定通知書等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/jidouteate20120401.html,
児童手当の増額改定,児童手当　額改定　認定請求書・額改定届,子育て支援課,児童手当係,本庁舎10階,第2子以降の出生時の児童手当の増額申請手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/jidouteate20120401.html,
児童手当の受給資格の消滅,児童手当・特例給付　受給事由消滅届,子育て支援課,児童手当係,本庁舎10階,施設入所等により手当の支給要件を満たさなくなった場合の手続き,施設入所した日がわかる措置決定通知書等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/jidouteate20120401.html,
児童手当の受給資格の認定,児童手当・特例給付認定請求書,子育て支援課,児童手当係,本庁舎10階,出生時の児童手当の申請手続き,原則なしだが、外国籍の受給者は通帳の写しを求める等、必要によっては添付書類が必要なケースあり。,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/jidouteate20120401.html,
未支払いの児童扶養手当,児童扶養手当　未支払手当請求書,子育て支援課,児童手当係,本庁舎10階,手当受給者が死亡した場合に、対象児童の口座に手当を振り込むための手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当の増額改定,児童扶養手当額改定（増額）請求書,子育て支援課,児童手当係,本庁舎10階,対象児童の出生等に伴う児童扶養手当の増額の手続き,戸籍謄本,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当の減額改定,児童扶養手当額改定届（減額）,子育て支援課,児童手当係,本庁舎10階,対象児童の施設入所等に伴う児童扶養手当の減額の手続き,施設入所等分かる書類,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当の受給資格者に対する手当の支給制限,児童扶養手当減額除外届出書,子育て支援課,児童手当係,本庁舎10階,５年等満了月を経過した児童扶養手当受給者が、手当の一部支給停止の適用除外を受けるための手続き,健康保険証の写し等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当の現況届,児童扶養手当現況届,子育て支援課,児童手当係,本庁舎10階,手当更新の手続き,申立書等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当の受給資格の消滅,児童扶養手当資格喪失届,子育て支援課,児童手当係,本庁舎10階,対象児童の施設入所等に伴う児童扶養手当の消滅の手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当の支給停止関係｛発生・消滅・変更｝届,児童扶養手当支給停止関係｛発生・消滅・変更｝届,子育て支援課,児童手当係,本庁舎10階,修正申告に伴う手当開始または手当停止の手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当の住所変更届（転出者用）,児童扶養手当住所変更届（転出者用）,子育て支援課,児童手当係,本庁舎10階,受給者が転出した時の手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当の住所変更届（転入者用）,児童扶養手当住所変更届（転入者用）,子育て支援課,児童手当係,本庁舎10階,受給者が転入した時の手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当証書の亡失届,児童扶養手当証書亡失届,子育て支援課,児童手当係,本庁舎10階,児童扶養手当証書を紛失し、再発行する時の手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当の受給資格認定,児童扶養手当認定請求書,子育て支援課,児童手当係,本庁舎10階,離婚等でひとり親になった対象者の児童扶養手当の新規申請手続き,戸籍謄本等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当の変更届,児童扶養手当変更届,子育て支援課,児童手当係,本庁舎10階,受給者が転居した時の手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
児童扶養手当の変更届,児童扶養手当変更届,子育て支援課,児童手当係,本庁舎10階,受給者や対象児童の氏名が変更になった時の手続き,戸籍謄本等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
支払口座振替の変更届,支払口座振替変更届,子育て支援課,児童手当係,本庁舎10階,児童扶養手当の口座の変更の手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
口座変更届（児童手当・児童育成手当・児童扶養手当共通）,支払金口座振替変更届,子育て支援課,児童手当係,本庁舎10階,手当振り込み口座の変更手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
口座変更届（児童育成手当）,支払金口座振替変更届,子育て支援課,児童手当係,本庁舎10階,手当振り込み口座の変更手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
特別児童扶養手当の増額改定,特別児童扶養手当額改定請求書,子育て支援課,児童手当係,本庁舎10階,対象児童の障害追加等に伴う特別児童扶養手当の増額の手続き,戸籍謄本、診断書等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当の減額改定,特別児童扶養手当額改定届,子育て支援課,児童手当係,本庁舎10階,対象児童の施設入所等に伴う特別児童扶養手当の減額の手続き,施設入所等分かる書類,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当の受給資格の消滅,特別児童扶養手当資格喪失届,子育て支援課,児童手当係,本庁舎10階,対象児童の施設入所等に伴う特別児童扶養手当の消滅の手続き,施設入所等分かる書類,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当の辞退届,特別児童扶養手当辞退届,子育て支援課,児童手当係,本庁舎10階,受給者が特別児童扶養手当を辞退する手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当の都外転入,特別児童扶養手当住所変更届【都外からの転入用】,子育て支援課,児童手当係,本庁舎10階,受給者が都外転入した時の手続き,特別児童扶養手当証書,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当の有期更新,特別児童扶養手当障害状況届,子育て支援課,児童手当係,本庁舎10階,対象児童の障害状況確認の手続き,身体障害者手帳・愛の手帳・診断書で該当する書類,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当証書の亡失届,特別児童扶養手当証書亡失届,子育て支援課,児童手当係,本庁舎10階,特別児童扶養手当証書を紛失し、再発行する時の手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当の現況届,特別児童扶養手当所得状況届,子育て支援課,児童手当係,本庁舎10階,手当更新の手続き,特別児童扶養手当証書、申立書等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当の所得状況変更届,特別児童扶養手当所得状況変更届,子育て支援課,児童手当係,本庁舎10階,修正申告に伴う手当開始または手当停止の手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当の受給資格認定,特別児童扶養手当認定請求書,子育て支援課,児童手当係,本庁舎10階,障害のある対象児童の保護者による特別児童扶養手当の新規申請手続き,戸籍謄本、身体障害者手帳・愛の手帳・診断書で該当する書類、通帳またはキャッシュカードの写し,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当の振込先口座申出書,特別児童扶養手当振込先口座申出書,子育て支援課,児童手当係,本庁舎10階,特別児童扶養手当の口座の変更の手続き,通帳またはキャッシュカードの写し,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当の氏名変更,特別児童扶養手当変更届,子育て支援課,児童手当係,本庁舎10階,受給者や対象児童の氏名が変更になった時の手続き,戸籍謄本、特別児童扶養手当証書等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
特別児童扶養手当の都内転居,特別児童扶養手当変更届,子育て支援課,児童手当係,本庁舎10階,受給者が都内転居した時の手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
ねりっこプラスの入会申請（１次締切）,ねりっこプラス　入会申請書,子育て支援課,放課後対策第一係,本庁舎10階,ねりっこプラスの入会に係る手続,,(03)5984-1519,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/nerikkoclub/nerigakudo.html,
ねりっこプラスの入会申請（先着順）,"ねりっこプラス
入会申請書",子育て支援課,放課後対策第一係,本庁舎10階,ねりっこプラスの入会に係る手続,,(03)5984-1519,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/nerikkoclub/nerigakudo.html,
ねりっこ学童クラブ・ねりっこプラス保育料の減免の申請,ねりっこ学童クラブ・ねりっこプラス保育料減額・免除申請書,子育て支援課,放課後対策第一係,本庁舎10階,学童クラブ保育料の減免の決定手続,,(03)5984-1519,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/gakudo/hoikuryou.html,
第3子誕生祝金の申請,練馬区第3子誕生祝金支給申請書,子育て支援課,児童手当係,本庁舎10階,第3子以降の児童の出生時の祝金の申請手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/shussan/iwaikin.html,
児童館の利用申込み,練馬区立児童館入館票、入館カード,子育て支援課,児童館係,本庁舎10階,児童館利用に係る登録、利用手続き,,(03)5984-5827,https://www.city.nerima.tokyo.jp/dl/shussan/jidokanshinsei.html,
練馬区立ねりっこ学童クラブの入会申請,練馬区立ねりっこ学童クラブ申請書等,子育て支援課,放課後対策第一係,本庁舎10階,ねりっこ学童クラブの入会に係る手続,就労証明書または申立書,(03)5984-1519,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/gakudo/gakudo_gaiyou_2404.html,
ひとり親家庭等の医療費助成のための医療証の交付,ひとり親家庭等医療証交付申請書,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等の医療費助成のための医療証の交付申請手続き,戸籍謄本、健康保険証等,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等の医療費助成費の支給決定,ひとり親家庭等医療助成費支給申請兼請求書,子育て支援課,児童手当係,本庁舎10階,自己負担した医療費の払い戻し申請手続き,医療機関の領収書等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/haraimodoshi.html,
ひとり親家庭等の医療費助成のための医療証の再交付,ひとり親家庭等医療費助成制度　医療証再交付申請書,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等の医療費助成のための医療証の再交付申請手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/saikoufu.html,
ひとり親家庭等の医療費助成の受給資格の消滅届,ひとり親家庭等医療費助成制度　消滅届,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等の医療費助成の受給資格の消滅手続き,ひとり親家庭等医療証,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等の医療費助成のための医療証の変更届（氏名）,ひとり親家庭等医療費助成制度　申請事項変更届,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証登録内容の変更手続,戸籍謄本など,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等の医療費助成のための医療証の変更届（住所）,ひとり親家庭等医療費助成制度　申請事項変更届,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証登録内容の変更手続（住所）,,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等の医療費助成のための医療証の変更届（扶養義務者）,ひとり親家庭等医療費助成制度　申請事項変更届,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証登録内容の変更手続（扶養義務者）,,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等の医療費助成のための医療証の変更届（その他）,ひとり親家庭等医療費助成制度　申請事項変更届,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証登録内容の変更手続（その他）,,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等の医療費助成のための医療証の変更届（健康保険）,ひとり親家庭等医療費助成制度　申請事項変更届,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証登録内容の変更手続（健康保険）,健康保険証,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等医療費助成制度現況届,ひとり親家庭等医療費助成制度現況届,子育て支援課,児童手当係,本庁舎10階,ひとり親医療証の更新手続き,住民登録地に関する申告書　など,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等認定調書（離婚）,ひとり親家庭等認定調書,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証の交付申請手続き時に記載するもの,戸籍謄本,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等認定調書（死亡）,ひとり親家庭等認定調書,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証の交付申請手続き時に記載するもの,戸籍謄本,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等認定調書（障害）,ひとり親家庭等認定調書,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証の交付申請手続き時に記載するもの,診断書など,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等認定調書（生死不明）,ひとり親家庭等認定調書,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証の交付申請手続き時に記載するもの,生死不明を証明する書類,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等認定調書（遺棄）,ひとり親家庭等認定調書,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証の交付申請手続き時に記載するもの,遺棄の申立書など,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等認定調書（保護命令）,ひとり親家庭等認定調書,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証の交付申請手続き時に記載するもの,保護命令の確定証明書,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等認定調書（拘禁）,ひとり親家庭等認定調書,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証の交付申請手続き時に記載するもの,拘禁証明書,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等認定調書（未婚）,ひとり親家庭等認定調書,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証の交付申請手続き時に記載するもの,戸籍謄本,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等認定調書（父母死亡およびその他）,ひとり親家庭等認定調書,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証の交付申請手続き時に記載するもの,戸籍謄本,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等の医療費助成の対象児童減員届,ひとり親家庭等医療費助成制度　申請事項変更（減員）届,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証登録内容の変更手続（減員）,ひとり親家庭等医療証,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
ひとり親家庭等の医療費助成の対象児童増員届,ひとり親家庭等医療費助成制度　申請事項変更（増員）届,子育て支援課,児童手当係,本庁舎10階,ひとり親家庭等医療証登録内容の変更手続,戸籍謄本など,(03)5984-5824,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/iryojosei/hitorioya.html,
学童クラブ延長または繰上時間の承認に係る審査,保育および指導時間の延長・繰上げ申請書,子育て支援課,放課後対策第一係,本庁舎10階,学童クラブの延長を希望の際に届け出る,,(03)5984-1519,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/nerikkoclub/nerigakudo.ht,
未支払いの特別児童扶養手当,未支払特別児童扶養手当請求書,子育て支援課,児童手当係,本庁舎10階,手当受給者が死亡した場合に、対象児童の口座に手当を振り込むための手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/tokubetujidoufuyou.html,
学童クラブ保育料口座振替手続き,口座振替（自動払込）依頼書,子育て支援課,放課後対策第一係,本庁舎10階,学童クラブ保育料口座振替手続き,,(03)5984-1519,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/gakudo/hoikuryou.html,https://www.city.nerima.tokyo.jp/online/webkouzafurikae.html
"育成手当の変更届　
（氏名）",児童育成手当受給者等氏名住所変更届,子育て支援課,児童手当係,本庁舎10階,受給者・児童の氏名変更に伴う手続き,戸籍謄本,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/ikuseiteate.html,
"育成手当の変更届
（住所）",児童育成手当受給者等氏名住所変更届,子育て支援課,児童手当係,本庁舎10階,受給者・児童の区内転居に伴う変更手続き,原則なしだが、児童が区外に転出した場合、住民票や申立書を求めるケースがある。,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/ikuseiteate.html,
児童育成手当の受給資格の消滅,児童育成手当受給事由消滅届,子育て支援課,児童手当係,本庁舎10階,施設入所等により手当の支給要件を満たさなくなった場合の手続き,施設入所した日がわかる措置決定通知書等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/ikuseiteate.html,
児童手当の現況届,児童手当・特例給付　現況届,子育て支援課,児童手当係,本庁舎10階,児童手当を継続して受給するための手続き,原則なしだが、住所要件等申立書を求める場合がある。,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/jidouteate20120401.html,
児童手当・特例給付の変更届(住所),児童手当・特例給付氏名住所等変更届,子育て支援課,児童手当係,本庁舎10階,受給者・児童の区内転居に伴う変更手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/jidouteate20120401.html,
児童手当・特例給付の変更届　（個人番号）,児童手当・特例給付氏名住所等変更届,子育て支援課,児童手当係,本庁舎10階,個人番号が変更になった場合の手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/jidouteate20120401.html,
児童手当・特例給付の変更届　（氏名）,児童手当・特例給付氏名住所等変更届,子育て支援課,児童手当係,本庁舎10階,受給者と児童もしくは、どちらかの氏名が変わった場合,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/jidouteate20120401.html,
ねりっこ学童クラブ・ねりっこプラス延長または繰上時間の承認に係る審査,保育および指導時間の延長・繰上げ申請書,子育て支援課,放課後対策第一係,本庁舎10階,学童クラブの延長を希望の際に届け出る,,(03)5984-1519,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/nerikkoclub/nerigakudo.ht,
「ランドセル来館」・「昼食場所の提供」利用登録申請,,子育て支援課,児童館係,本庁舎10階,区立学童クラブを待機となった児童が利用できる事業への登録手続き,,(03)5984-5827,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/gakudo/gakudo_gaiyou_2404.html,
子ども医療証（マル青）の別居監護申立書,マル青子ども医療証交付申請書 別居監護申立書,子育て支援課,児童手当係,本庁舎10階,児童が別居している申請者が医療証の交付申請または登録内容の変更手続き時に記載するもの,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,
子ども医療証（マル青）の誰からも監護されていないことの申立書,誰からも監護されていないことの申立書,子育て支援課,児童手当係,本庁舎10階,保護者から監護されていない児童が医療証の交付申請または登録内容の変更手続き時に記載するもの,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,
子ども医療証の更新に関する同意書（マル子⇒マル青）,子ども医療証の更新に関する同意書（マル子⇒マル青）,子育て支援課,児童手当係,本庁舎10階,"子ども医療証の更新に関する手続
（一部対象者のみ）",,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,
1歳児1年保育の利用申請,１歳児１年保育利用申込書,保育課,保育支援係,本庁舎10階,1歳児1年保育を利用する場合の手続き,,(03)5984-1491,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/1sai-1nen.html,
1歳児1年保育利用辞退・中止届,1歳児1年保育利用辞退・中止届,保育課,保育支援係,本庁舎10階,1歳児1年保育利用辞退・中止の届出をする手続き,,(03)5984-1491,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/1sai-1nen.html,
1歳児1年保育利用料減額・免除申請,1歳児1年保育利用料減額・免除申請書,保育課,保育支援係,本庁舎10階,1歳児1年保育利用料減額・免除の申請をする手続き,,(03)5984-1491,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/1sai-1nen.html,
1歳児1年保育利用区分変更申し込み,1歳児1年保育利用区分変更申込書,保育課,保育支援係,本庁舎10階,1歳児1年保育利用区分変更の申し込みをする手続き,,(03)5984-1491,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/1sai-1nen.html,
1歳児1年保育利用申込内容変更届,1歳児1年保育利用申込内容変更届,保育課,保育支援係,本庁舎10階,1歳児1年保育利用申込内容の変更を届出る手続き,,(03)5984-1491,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/1sai-1nen.html,
延長保育の利用の解除,延長保育辞退届,保育課,保育認定係,本庁舎10階,延長保育の利用開始後に、利用解除を届け出る手続き,,(03)5984-1479,https://www.city.nerima.tokyo.jp/shisetsu/kodomo/hoikuenlist/enchou-hoiku.html,
休日保育の利用申込の取下げ・内定辞退,休日保育辞退届,保育課,入園相談係,本庁舎10階,休日保育の利用承諾前に、利用辞退を申し出る手続き,,(03)5984-5848,https://www.city.nerima.tokyo.jp/shisetsu/kodomo/hoikuenlist/enchou-hoiku.html,
休日保育の利用申込,休日保育申込書,保育課,入園相談係,本庁舎10階,休日保育の利用を申し込むための手続き,,(03)5984-5848,https://www.city.nerima.tokyo.jp/shisetsu/kodomo/hoikuenlist/enchou-hoiku.html,
保育所等の利用申込（認定こども園および地域型保育事業のあっせんも含む）,教育・保育給付認定申請書兼保育園等利用申込書,保育課,入園相談係,本庁舎10階,保育の利用を希望する際に、申し込むための手続き,,(03)5984-5848,https://www.city.nerima.tokyo.jp/shisetsu/kodomo/hoikuenlist/enchou-hoiku.html,
保育所等の利用申込の取下げ・内定辞退,保育園等内定辞退届・利用申込取下げ書,保育課,入園相談係,本庁舎10階,保育の利用承諾前に、利用辞退を申し出る手続き,,(03)5984-5848,https://www.city.nerima.tokyo.jp/shisetsu/kodomo/hoikuenlist/enchou-hoiku.html,
保育所等の利用申込内容の変更,教育・保育給付認定申請申請変更届兼・保育園等利用申込内容変更届,保育課,入園相談係,本庁舎10階,保育の利用の希望内容の変更を届け出る手続き,,(03)5984-5848,https://www.city.nerima.tokyo.jp/shisetsu/kodomo/hoikuenlist/enchou-hoiku.html,
延長保育の利用申込の取下げ・内定辞退,保育園等内定辞退届・利用申込取下げ書,保育課,入園相談係,本庁舎10階,延長保育の利用承諾前に、利用辞退を申し出る手続き,,(03)5984-5848,https://www.city.nerima.tokyo.jp/shisetsu/kodomo/hoikuenlist/enchou-hoiku.html,
延長保育の利用申込,延長保育申込書,保育課,入園相談係,本庁舎10階,延長保育の利用を申し込むための手続き,,(03)5984-5848,https://www.city.nerima.tokyo.jp/shisetsu/kodomo/hoikuenlist/enchou-hoiku.html,
保育の現況調査,現況届,保育課,保育認定係,本庁舎10階,在園世帯の家庭状況を調査し、保育の必要性の認定を確認する際の手続き,就労証明書等が必要,(03)5984-1479,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/hoikuen/zaien/hoikushikyuunintei.html,
施設等利用給付認定,子育てのための施設等利用給付認定申請書,保育課,保育認定係,本庁舎10階,幼児教育・保育の無償化にあたり保育の必要性の認定を受ける上での手続き,就労証明書等が必要,(03)5984-1479,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/hoikuen/zaien/hoikushikyuunintei.html,
